rank,bucket,unit_count,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,proxy_score,note,source_rank
34,base_core,1,3400,2120022220221,2,1,2,0,0,2,2,2,2,0,2,2,1,-6.360283,ベース90口。Hotでもまず1口だけ置く。,34
35,base_core,1,3500,2122222222221,2,1,2,2,2,2,2,2,2,2,2,2,1,-6.369626,ベース90口。Hotでもまず1口だけ置く。,35
36,base_core,1,3600,2022221221221,2,0,2,2,2,2,1,2,2,1,2,2,1,-6.400634,ベース90口。Hotでもまず1口だけ置く。,36
37,base_core,1,3700,2022221220221,2,0,2,2,2,2,1,2,2,0,2,2,1,-6.407489,ベース90口。Hotでもまず1口だけ置く。,37
38,base_core,1,3800,2120222222221,2,1,2,0,2,2,2,2,2,2,2,2,1,-6.415593,ベース90口。Hotでもまず1口だけ置く。,38
39,base_core,1,3900,2020221221221,2,0,2,0,2,2,1,2,2,1,2,2,1,-6.446602,ベース90口。Hotでもまず1口だけ置く。,39
40,base_core,1,4000,2020221220221,2,0,2,0,2,2,1,2,2,0,2,2,1,-6.453457,ベース90口。Hotでもまず1口だけ置く。,40
41,base_core,1,4100,2121021221221,2,1,2,1,0,2,1,2,2,1,2,2,1,-6.458847,ベース90口。Hotでもまず1口だけ置く。,41
42,base_core,1,4200,2022220221221,2,0,2,2,2,2,0,2,2,1,2,2,1,-6.464130,ベース90口。Hotでもまず1口だけ置く。,42
43,base_core,1,4300,2121021220221,2,1,2,1,0,2,1,2,2,0,2,2,1,-6.465702,ベース90口。Hotでもまず1口だけ置く。,43
44,base_core,1,4400,2022220220221,2,0,2,2,2,2,0,2,2,0,2,2,1,-6.470985,ベース90口。Hotでもまず1口だけ置く。,44
45,base_core,1,4500,2122021222221,2,1,2,2,0,2,1,2,2,2,2,2,1,-6.487214,ベース90口。Hotでもまず1口だけ置く。,45
46,base_core,1,4600,2020220221221,2,0,2,0,2,2,0,2,2,1,2,2,1,-6.510097,ベース90口。Hotでもまず1口だけ置く。,46
47,base_core,1,4700,2020220220221,2,0,2,0,2,2,0,2,2,0,2,2,1,-6.516952,ベース90口。Hotでもまず1口だけ置く。,47
48,base_core,1,4800,2121221222221,2,1,2,1,2,2,1,2,2,2,2,2,1,-6.521012,ベース90口。Hotでもまず1口だけ置く。,48
49,base_core,1,4900,2121020221221,2,1,2,1,0,2,0,2,2,1,2,2,1,-6.522342,ベース90口。Hotでもまず1口だけ置く。,49
50,base_core,1,5000,2121020220221,2,1,2,1,0,2,0,2,2,0,2,2,1,-6.529197,ベース90口。Hotでもまず1口だけ置く。,50
51,base_core,1,5100,2120021222221,2,1,2,0,0,2,1,2,2,2,2,2,1,-6.533182,ベース90口。Hotでもまず1口だけ置く。,51
52,base_core,1,5200,2122020222221,2,1,2,2,0,2,0,2,2,2,2,2,1,-6.550710,ベース90口。Hotでもまず1口だけ置く。,52
53,base_core,1,5300,2022222221221,2,0,2,2,2,2,2,2,2,1,2,2,1,-6.554704,ベース90口。Hotでもまず1口だけ置く。,53
54,base_core,1,5400,2022222220221,2,0,2,2,2,2,2,2,2,0,2,2,1,-6.561559,ベース90口。Hotでもまず1口だけ置く。,54
55,base_core,1,5500,2121220222221,2,1,2,1,2,2,0,2,2,2,2,2,1,-6.584507,ベース90口。Hotでもまず1口だけ置く。,55
56,base_core,1,5600,2120020222221,2,1,2,0,0,2,0,2,2,2,2,2,1,-6.596677,ベース90口。Hotでもまず1口だけ置く。,56
57,base_core,1,5700,2020222221221,2,0,2,0,2,2,2,2,2,1,2,2,1,-6.600671,ベース90口。Hotでもまず1口だけ置く。,57
58,base_core,1,5800,2020222220221,2,0,2,0,2,2,2,2,2,0,2,2,1,-6.607526,ベース90口。Hotでもまず1口だけ置く。,58
59,base_core,1,5900,2121022221221,2,1,2,1,0,2,2,2,2,1,2,2,1,-6.612917,ベース90口。Hotでもまず1口だけ置く。,59
60,base_core,1,6000,2121022220221,2,1,2,1,0,2,2,2,2,0,2,2,1,-6.619772,ベース90口。Hotでもまず1口だけ置く。,60
61,base_core,1,6100,2122022222221,2,1,2,2,0,2,2,2,2,2,2,2,1,-6.641284,ベース90口。Hotでもまず1口だけ置く。,61
62,base_core,1,6200,2022021221221,2,0,2,2,0,2,1,2,2,1,2,2,1,-6.672292,ベース90口。Hotでもまず1口だけ置く。,62
63,base_core,1,6300,2121222222221,2,1,2,1,2,2,2,2,2,2,2,2,1,-6.675081,ベース90口。Hotでもまず1口だけ置く。,63
64,base_core,1,6400,2022021220221,2,0,2,2,0,2,1,2,2,0,2,2,1,-6.679147,ベース90口。Hotでもまず1口だけ置く。,64
65,base_core,1,6500,2120022222221,2,1,2,0,0,2,2,2,2,2,2,2,1,-6.687251,ベース90口。Hotでもまず1口だけ置く。,65
66,base_core,1,6600,2021221221221,2,0,2,1,2,2,1,2,2,1,2,2,1,-6.706090,ベース90口。Hotでもまず1口だけ置く。,66
67,base_core,1,6700,2021221220221,2,0,2,1,2,2,1,2,2,0,2,2,1,-6.712945,ベース90口。Hotでもまず1口だけ置く。,67
68,base_core,1,6800,2020021221221,2,0,2,0,0,2,1,2,2,1,2,2,1,-6.718260,ベース90口。Hotでもまず1口だけ置く。,68
69,base_core,1,6900,2020021220221,2,0,2,0,0,2,1,2,2,0,2,2,1,-6.725115,ベース90口。Hotでもまず1口だけ置く。,69
70,base_core,1,7000,2102221221221,2,1,0,2,2,2,1,2,2,1,2,2,1,-6.727297,ベース90口。Hotでもまず1口だけ置く。,70
71,base_core,1,7100,2102221220221,2,1,0,2,2,2,1,2,2,0,2,2,1,-6.734152,ベース90口。Hotでもまず1口だけ置く。,71
72,base_core,1,7200,2022221222221,2,0,2,2,2,2,1,2,2,2,2,2,1,-6.734457,ベース90口。Hotでもまず1口だけ置く。,72
73,base_core,1,7300,2022020221221,2,0,2,2,0,2,0,2,2,1,2,2,1,-6.735788,ベース90口。Hotでもまず1口だけ置く。,73
74,base_core,1,7400,2022020220221,2,0,2,2,0,2,0,2,2,0,2,2,1,-6.742643,ベース90口。Hotでもまず1口だけ置く。,74
75,base_core,1,7500,2021220221221,2,0,2,1,2,2,0,2,2,1,2,2,1,-6.769585,ベース90口。Hotでもまず1口だけ置く。,75
76,base_core,1,7600,2100221221221,2,1,0,0,2,2,1,2,2,1,2,2,1,-6.773265,ベース90口。Hotでもまず1口だけ置く。,76
77,base_core,1,7700,2021220220221,2,0,2,1,2,2,0,2,2,0,2,2,1,-6.776440,ベース90口。Hotでもまず1口だけ置く。,77
78,base_core,1,7800,2100221220221,2,1,0,0,2,2,1,2,2,0,2,2,1,-6.780120,ベース90口。Hotでもまず1口だけ置く。,78
79,base_core,1,7900,2020221222221,2,0,2,0,2,2,1,2,2,2,2,2,1,-6.780425,ベース90口。Hotでもまず1口だけ置く。,79
80,base_core,1,8000,2020020221221,2,0,2,0,0,2,0,2,2,1,2,2,1,-6.781755,ベース90口。Hotでもまず1口だけ置く。,80
81,base_core,1,8100,2020020220221,2,0,2,0,0,2,0,2,2,0,2,2,1,-6.788610,ベース90口。Hotでもまず1口だけ置く。,81
82,base_core,1,8200,2102220221221,2,1,0,2,2,2,0,2,2,1,2,2,1,-6.790793,ベース90口。Hotでもまず1口だけ置く。,82
83,base_core,1,8300,2121021222221,2,1,2,1,0,2,1,2,2,2,2,2,1,-6.792670,ベース90口。Hotでもまず1口だけ置く。,83
84,base_core,1,8400,2102220220221,2,1,0,2,2,2,0,2,2,0,2,2,1,-6.797648,ベース90口。Hotでもまず1口だけ置く。,84
85,base_core,1,8500,2022220222221,2,0,2,2,2,2,0,2,2,2,2,2,1,-6.797953,ベース90口。Hotでもまず1口だけ置く。,85
86,base_core,1,8600,2022022221221,2,0,2,2,0,2,2,2,2,1,2,2,1,-6.826362,ベース90口。Hotでもまず1口だけ置く。,86
87,base_core,1,8700,2022022220221,2,0,2,2,0,2,2,2,2,0,2,2,1,-6.833217,ベース90口。Hotでもまず1口だけ置く。,87
88,base_core,1,8800,2100220221221,2,1,0,0,2,2,0,2,2,1,2,2,1,-6.836760,ベース90口。Hotでもまず1口だけ置く。,88
89,base_core,1,8900,2100220220221,2,1,0,0,2,2,0,2,2,0,2,2,1,-6.843615,ベース90口。Hotでもまず1口だけ置く。,89
90,base_core,1,9000,2020220222221,2,0,2,0,2,2,0,2,2,2,2,2,1,-6.843920,ベース90口。Hotでもまず1口だけ置く。,90
