rank,bucket,unit_count,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,note
50,hedge,1,6000,0212111110111,0,2,1,2,1,1,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
51,hedge,1,6100,1212111102111,1,2,1,2,1,1,1,1,0,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
52,hedge,1,6200,0212101112111,0,2,1,2,1,0,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
53,hedge,1,6300,1212101111111,1,2,1,2,1,0,1,1,1,1,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
54,hedge,1,6400,1212110212111,1,2,1,2,1,1,0,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
55,hedge,1,6500,1212011212111,1,2,1,2,0,1,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
56,hedge,1,6600,1210111112111,1,2,1,0,1,1,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
57,hedge,1,6700,0212111212111,0,2,1,2,1,1,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
58,hedge,1,6800,1212111211111,1,2,1,2,1,1,1,2,1,1,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
59,hedge,1,6900,1202111012111,1,2,0,2,1,1,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
60,hedge,1,7000,1202111110111,1,2,0,2,1,1,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
61,hedge,1,7100,1212111112011,1,2,1,2,1,1,1,1,1,2,0,1,1,"追加ヘッジ。20,000円上限の議論用。"
62,hedge,1,7200,1202101112111,1,2,0,2,1,0,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
63,hedge,1,7300,1212111112110,1,2,1,2,1,1,1,1,1,2,1,1,0,"追加ヘッジ。20,000円上限の議論用。"
64,hedge,1,7400,1212111112101,1,2,1,2,1,1,1,1,1,2,1,0,1,"追加ヘッジ。20,000円上限の議論用。"
65,hedge,1,7500,1202111212111,1,2,0,2,1,1,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
66,hedge,1,7600,1212110010111,1,2,1,2,1,1,0,0,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
67,hedge,1,7700,1212011010111,1,2,1,2,0,1,1,0,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
68,hedge,1,7800,1212100012111,1,2,1,2,1,0,0,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
69,hedge,1,7900,1212001012111,1,2,1,2,0,0,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
70,hedge,1,8000,1212100110111,1,2,1,2,1,0,0,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
71,hedge,1,8100,1212001110111,1,2,1,2,0,0,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
72,hedge,1,8200,0212111010111,0,2,1,2,1,1,1,0,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
73,hedge,1,8300,1212111002111,1,2,1,2,1,1,1,0,0,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
74,hedge,1,8400,0212101012111,0,2,1,2,1,0,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
75,hedge,1,8500,1212111100111,1,2,1,2,1,1,1,1,0,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
76,hedge,1,8600,1212101011111,1,2,1,2,1,0,1,0,1,1,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
77,hedge,1,8700,0212101110111,0,2,1,2,1,0,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
78,hedge,1,8800,1212101102111,1,2,1,2,1,0,1,1,0,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
79,hedge,1,8900,1212120112111,1,2,1,2,1,2,0,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
80,hedge,1,9000,1212021112111,1,2,1,2,0,2,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
81,hedge,1,9100,1112111112111,1,1,1,2,1,1,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
82,hedge,1,9200,1212110210111,1,2,1,2,1,1,0,2,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
83,hedge,1,9300,1212011210111,1,2,1,2,0,1,1,2,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
84,hedge,1,9400,1212100212111,1,2,1,2,1,0,0,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
85,hedge,1,9500,1212001212111,1,2,1,2,0,0,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
86,hedge,1,9600,0212121112111,0,2,1,2,1,2,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
87,hedge,1,9700,1210111012111,1,2,1,0,1,1,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
88,hedge,1,9800,1212121111111,1,2,1,2,1,2,1,1,1,1,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
89,hedge,1,9900,1210111110111,1,2,1,0,1,1,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
90,hedge,1,10000,0212111210111,0,2,1,2,1,1,1,2,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
91,hedge,1,10100,1212111202111,1,2,1,2,1,1,1,2,0,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
92,hedge,1,10200,1210101112111,1,2,1,0,1,0,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
93,hedge,1,10300,0212101212111,0,2,1,2,1,0,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
94,hedge,1,10400,1212101211111,1,2,1,2,1,0,1,2,1,1,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
95,hedge,1,10500,2212111112111,2,2,1,2,1,1,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
96,hedge,1,10600,1012110112111,1,0,1,2,1,1,0,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
97,hedge,1,10700,1012011112111,1,0,1,2,0,1,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
98,hedge,1,10800,1202111010111,1,2,0,2,1,1,1,0,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
99,hedge,1,10900,1212111012011,1,2,1,2,1,1,1,0,1,2,0,1,1,"追加ヘッジ。20,000円上限の議論用。"
100,hedge,1,11000,1202101012111,1,2,0,2,1,0,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
101,hedge,1,11100,1212111110011,1,2,1,2,1,1,1,1,1,0,0,1,1,"追加ヘッジ。20,000円上限の議論用。"
102,hedge,1,11200,1202101110111,1,2,0,2,1,0,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
103,hedge,1,11300,1212101112011,1,2,1,2,1,0,1,1,1,2,0,1,1,"追加ヘッジ。20,000円上限の議論用。"
104,hedge,1,11400,1210111212111,1,2,1,0,1,1,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
105,hedge,1,11500,0012111112111,0,0,1,2,1,1,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
106,hedge,1,11600,1012111111111,1,0,1,2,1,1,1,1,1,1,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
107,hedge,1,11700,1212211112111,1,2,1,2,2,1,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
108,hedge,1,11800,1212111012110,1,2,1,2,1,1,1,0,1,2,1,1,0,"追加ヘッジ。20,000円上限の議論用。"
109,hedge,1,11900,1212111012101,1,2,1,2,1,1,1,0,1,2,1,0,1,"追加ヘッジ。20,000円上限の議論用。"
110,hedge,1,12000,1212111110110,1,2,1,2,1,1,1,1,1,0,1,1,0,"追加ヘッジ。20,000円上限の議論用。"
111,hedge,1,12100,1212111110101,1,2,1,2,1,1,1,1,1,0,1,0,1,"追加ヘッジ。20,000円上限の議論用。"
112,hedge,1,12200,1212101112110,1,2,1,2,1,0,1,1,1,2,1,1,0,"追加ヘッジ。20,000円上限の議論用。"
113,hedge,1,12300,1202121112111,1,2,0,2,1,2,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
114,hedge,1,12400,1212101112101,1,2,1,2,1,0,1,1,1,2,1,0,1,"追加ヘッジ。20,000円上限の議論用。"
115,hedge,1,12500,1212112112111,1,2,1,2,1,1,2,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
116,hedge,1,12600,1202111210111,1,2,0,2,1,1,1,2,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
117,hedge,1,12700,1212111212011,1,2,1,2,1,1,1,2,1,2,0,1,1,"追加ヘッジ。20,000円上限の議論用。"
118,hedge,1,12800,1202101212111,1,2,0,2,1,0,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
119,hedge,1,12900,1212100010111,1,2,1,2,1,0,0,0,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
120,hedge,1,13000,1212001010111,1,2,1,2,0,0,1,0,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
121,hedge,1,13100,1212111212110,1,2,1,2,1,1,1,2,1,2,1,1,0,"追加ヘッジ。20,000円上限の議論用。"
122,hedge,1,13200,1212111212101,1,2,1,2,1,1,1,2,1,2,1,0,1,"追加ヘッジ。20,000円上限の議論用。"
123,hedge,1,13300,1002111112111,1,0,0,2,1,1,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
124,hedge,1,13400,1212111000111,1,2,1,2,1,1,1,0,0,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
125,hedge,1,13500,0212101010111,0,2,1,2,1,0,1,0,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
126,hedge,1,13600,1212101002111,1,2,1,2,1,0,1,0,0,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
127,hedge,1,13700,1222111112111,1,2,2,2,1,1,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
128,hedge,1,13800,1212120012111,1,2,1,2,1,2,0,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
129,hedge,1,13900,1212021012111,1,2,1,2,0,2,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
130,hedge,1,14000,1112111012111,1,1,1,2,1,1,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
131,hedge,1,14100,1212101100111,1,2,1,2,1,0,1,1,0,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
132,hedge,1,14200,1212120110111,1,2,1,2,1,2,0,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
133,hedge,1,14300,1212021110111,1,2,1,2,0,2,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
134,hedge,1,14400,1112111110111,1,1,1,2,1,1,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
135,hedge,1,14500,1112101112111,1,1,1,2,1,0,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
136,hedge,1,14600,1212100210111,1,2,1,2,1,0,0,2,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
137,hedge,1,14700,1212001210111,1,2,1,2,0,0,1,2,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
138,hedge,1,14800,0212121012111,0,2,1,2,1,2,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
139,hedge,1,14900,1212121011111,1,2,1,2,1,2,1,0,1,1,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
140,hedge,1,15000,0212121110111,0,2,1,2,1,2,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
141,hedge,1,15100,1210111010111,1,2,1,0,1,1,1,0,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
142,hedge,1,15200,1212121102111,1,2,1,2,1,2,1,1,0,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
143,hedge,1,15300,1210101012111,1,2,1,0,1,0,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
144,hedge,1,15400,1212111200111,1,2,1,2,1,1,1,2,0,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
145,hedge,1,15500,1210101110111,1,2,1,0,1,0,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
146,hedge,1,15600,0212101210111,0,2,1,2,1,0,1,2,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
147,hedge,1,15700,1212101202111,1,2,1,2,1,0,1,2,0,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
148,hedge,1,15800,2212111012111,2,2,1,2,1,1,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
149,hedge,1,15900,1212120212111,1,2,1,2,1,2,0,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
150,hedge,1,16000,1212021212111,1,2,1,2,0,2,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
151,hedge,1,16100,1012110012111,1,0,1,2,1,1,0,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
152,hedge,1,16200,1012011012111,1,0,1,2,0,1,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
153,hedge,1,16300,1112111212111,1,1,1,2,1,1,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
154,hedge,1,16400,2212111110111,2,2,1,2,1,1,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
155,hedge,1,16500,1012110110111,1,0,1,2,1,1,0,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
156,hedge,1,16600,1012011110111,1,0,1,2,0,1,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
157,hedge,1,16700,2212101112111,2,2,1,2,1,0,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
158,hedge,1,16800,1012100112111,1,0,1,2,1,0,0,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
159,hedge,1,16900,1012001112111,1,0,1,2,0,0,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
160,hedge,1,17000,1212111010011,1,2,1,2,1,1,1,0,1,0,0,1,1,"追加ヘッジ。20,000円上限の議論用。"
161,hedge,1,17100,1202101010111,1,2,0,2,1,0,1,0,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
162,hedge,1,17200,1212101012011,1,2,1,2,1,0,1,0,1,2,0,1,1,"追加ヘッジ。20,000円上限の議論用。"
163,hedge,1,17300,1210121112111,1,2,1,0,1,2,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
164,hedge,1,17400,0212121212111,0,2,1,2,1,2,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
165,hedge,1,17500,0012111012111,0,0,1,2,1,1,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
166,hedge,1,17600,1212121211111,1,2,1,2,1,2,1,2,1,1,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
167,hedge,1,17700,1212101110011,1,2,1,2,1,0,1,1,1,0,0,1,1,"追加ヘッジ。20,000円上限の議論用。"
168,hedge,1,17800,1012111011111,1,0,1,2,1,1,1,0,1,1,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
169,hedge,1,17900,1210111210111,1,2,1,0,1,1,1,2,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
170,hedge,1,18000,0012111110111,0,0,1,2,1,1,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
171,hedge,1,18100,1212211012111,1,2,1,2,2,1,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
172,hedge,1,18200,1012111102111,1,0,1,2,1,1,1,1,0,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
173,hedge,1,18300,1210101212111,1,2,1,0,1,0,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
174,hedge,1,18400,0012101112111,0,0,1,2,1,0,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
175,hedge,1,18500,1212211110111,1,2,1,2,2,1,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
176,hedge,1,18600,1012101111111,1,0,1,2,1,0,1,1,1,1,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
177,hedge,1,18700,1212201112111,1,2,1,2,2,0,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
178,hedge,1,18800,2212111212111,2,2,1,2,1,1,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
179,hedge,1,18900,1012110212111,1,0,1,2,1,1,0,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
180,hedge,1,19000,1012011212111,1,0,1,2,0,1,1,2,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
181,hedge,1,19100,1212111010110,1,2,1,2,1,1,1,0,1,0,1,1,0,"追加ヘッジ。20,000円上限の議論用。"
182,hedge,1,19200,1212111010101,1,2,1,2,1,1,1,0,1,0,1,0,1,"追加ヘッジ。20,000円上限の議論用。"
183,hedge,1,19300,1212111122111,1,2,1,2,1,1,1,1,2,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
184,hedge,1,19400,1212101012110,1,2,1,2,1,0,1,0,1,2,1,1,0,"追加ヘッジ。20,000円上限の議論用。"
185,hedge,1,19500,1202121012111,1,2,0,2,1,2,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
186,hedge,1,19600,1212101012101,1,2,1,2,1,0,1,0,1,2,1,0,1,"追加ヘッジ。20,000円上限の議論用。"
187,hedge,1,19700,1212112012111,1,2,1,2,1,1,2,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
188,hedge,1,19800,1212101110110,1,2,1,2,1,0,1,1,1,0,1,1,0,"追加ヘッジ。20,000円上限の議論用。"
189,hedge,1,19900,1202121110111,1,2,0,2,1,2,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
190,hedge,1,20000,1212101110101,1,2,1,2,1,0,1,1,1,0,1,0,1,"追加ヘッジ。20,000円上限の議論用。"
