rank,bucket,unit_count,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,proxy_ev_multiple,proxy_expected_return_yen,note
29,core,1,3900,1212101110111,1,2,1,2,1,0,1,1,1,0,1,1,1,0.778536,77.85,推奨コア。1口ずつバラで置く。
30,core,1,4000,1212111010111,1,2,1,2,1,1,1,0,1,0,1,1,1,0.778403,77.84,推奨コア。1口ずつバラで置く。
31,core,1,4100,1212101112111,1,2,1,2,1,0,1,1,1,2,1,1,1,0.775727,77.57,推奨コア。1口ずつバラで置く。
32,core,1,4200,1212111012111,1,2,1,2,1,1,1,0,1,2,1,1,1,0.775514,77.55,推奨コア。1口ずつバラで置く。
33,core,1,4300,1012111110111,1,0,1,2,1,1,1,1,1,0,1,1,1,0.771188,77.12,推奨コア。1口ずつバラで置く。
34,core,1,4400,1012111112111,1,0,1,2,1,1,1,1,1,2,1,1,1,0.769257,76.93,推奨コア。1口ずつバラで置く。
35,core,1,4500,1212111110111,1,2,1,2,1,1,1,1,1,0,1,1,1,0.764471,76.45,推奨コア。1口ずつバラで置く。
36,core,1,4600,1212111112111,1,2,1,2,1,1,1,1,1,2,1,1,1,0.761179,76.12,推奨コア。1口ずつバラで置く。
37,hedge,1,4700,1112121212111,1,1,1,2,1,2,1,2,1,2,1,1,1,0.700030,70.00,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
38,hedge,1,4800,1112121210111,1,1,1,2,1,2,1,2,1,0,1,1,1,0.698915,69.89,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
39,hedge,1,4900,1112121012111,1,1,1,2,1,2,1,0,1,2,1,1,1,0.696437,69.64,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
40,hedge,1,5000,1112121010111,1,1,1,2,1,2,1,0,1,0,1,1,1,0.695397,69.54,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
41,hedge,1,5100,1212121211111,1,2,1,2,1,2,1,2,1,1,1,1,1,0.690678,69.07,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
42,hedge,1,5200,1012121211111,1,0,1,2,1,2,1,2,1,1,1,1,1,0.689267,68.93,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
43,hedge,1,5300,1212121011111,1,2,1,2,1,2,1,0,1,1,1,1,1,0.687100,68.71,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
44,hedge,1,5400,1112121112111,1,1,1,2,1,2,1,1,1,2,1,1,1,0.686840,68.68,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
45,hedge,1,5500,1112121110111,1,1,1,2,1,2,1,1,1,0,1,1,1,0.686029,68.60,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
46,hedge,1,5600,1012121011111,1,0,1,2,1,2,1,0,1,1,1,1,1,0.685770,68.58,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
47,hedge,1,5700,1212121212112,1,2,1,2,1,2,1,2,1,2,1,1,2,0.684592,68.46,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
48,hedge,1,5800,1212121212211,1,2,1,2,1,2,1,2,1,2,2,1,1,0.684254,68.43,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
49,hedge,1,5900,1212121212121,1,2,1,2,1,2,1,2,1,2,1,2,1,0.683972,68.40,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
50,hedge,1,6000,1112101212111,1,1,1,2,1,0,1,2,1,2,1,1,1,0.683659,68.37,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
51,hedge,1,6100,1112101210111,1,1,1,2,1,0,1,2,1,0,1,1,1,0.682813,68.28,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
52,hedge,1,6200,1212121210112,1,2,1,2,1,2,1,2,1,0,1,1,2,0.682795,68.28,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
53,hedge,1,6300,1211121212111,1,2,1,1,1,2,1,2,1,2,1,1,1,0.682749,68.27,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
54,hedge,1,6400,1212121210211,1,2,1,2,1,2,1,2,1,0,2,1,1,0.682472,68.25,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
55,hedge,1,6500,1212121210121,1,2,1,2,1,2,1,2,1,0,1,2,1,0.682235,68.22,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
56,hedge,1,6600,1212121222111,1,2,1,2,1,2,1,2,2,2,1,1,1,0.682054,68.21,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
57,hedge,1,6700,1212121012112,1,2,1,2,1,2,1,0,1,2,1,1,2,0.681158,68.12,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
58,hedge,1,6800,1211121210111,1,2,1,1,1,2,1,2,1,0,1,1,1,0.681111,68.11,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
59,hedge,1,6900,1212121012211,1,2,1,2,1,2,1,0,1,2,2,1,1,0.680816,68.08,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
60,hedge,1,7000,1212121012121,1,2,1,2,1,2,1,0,1,2,1,2,1,0.680535,68.05,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
61,hedge,1,7100,1212121220111,1,2,1,2,1,2,1,2,2,0,1,1,1,0.680461,68.05,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
62,hedge,1,7200,1112101012111,1,1,1,2,1,0,1,0,1,2,1,1,1,0.680102,68.01,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
63,hedge,1,7300,1212121010112,1,2,1,2,1,2,1,0,1,0,1,1,2,0.679550,67.96,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
64,hedge,1,7400,1112101010111,1,1,1,2,1,0,1,0,1,0,1,1,1,0.679322,67.93,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
65,hedge,1,7500,1211121012111,1,2,1,1,1,2,1,0,1,2,1,1,1,0.679306,67.93,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
66,hedge,1,7600,1212121010211,1,2,1,2,1,2,1,0,1,0,2,1,1,0.679223,67.92,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
67,hedge,1,7700,1212121010121,1,2,1,2,1,2,1,0,1,0,1,2,1,0.678976,67.90,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
68,hedge,1,7800,1012121212112,1,0,1,2,1,2,1,2,1,2,1,1,2,0.678975,67.90,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
69,hedge,1,7900,1012121212211,1,0,1,2,1,2,1,2,1,2,2,1,1,0.678674,67.87,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
70,hedge,1,8000,1212121022111,1,2,1,2,1,2,1,0,2,2,1,1,1,0.678604,67.86,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
71,hedge,1,8100,1012121212121,1,0,1,2,1,2,1,2,1,2,1,2,1,0.678594,67.86,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
72,hedge,1,8200,1222121212111,1,2,2,2,1,2,1,2,1,2,1,1,1,0.678080,67.81,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
73,hedge,1,8300,1211121010111,1,2,1,1,1,2,1,0,1,0,1,1,1,0.677830,67.78,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
74,hedge,1,8400,1011121212111,1,0,1,1,1,2,1,2,1,2,1,1,1,0.677749,67.77,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
75,hedge,1,8500,1212121111111,1,2,1,2,1,2,1,1,1,1,1,1,1,0.677511,67.75,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
76,hedge,1,8600,1012121222111,1,0,1,2,1,2,1,2,2,2,1,1,1,0.677209,67.72,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
77,hedge,1,8700,1212121020111,1,2,1,2,1,2,1,0,2,0,1,1,1,0.677169,67.72,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
78,hedge,1,8800,1222121210111,1,2,2,2,1,2,1,2,1,0,1,1,1,0.676746,67.67,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
79,hedge,1,8900,1012121111111,1,0,1,2,1,2,1,1,1,1,1,1,1,0.676478,67.65,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
80,hedge,1,9000,1012121012112,1,0,1,2,1,2,1,0,1,2,1,1,2,0.676189,67.62,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
81,hedge,1,9100,1012121012211,1,0,1,2,1,2,1,0,1,2,2,1,1,0.675884,67.59,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
82,hedge,1,9200,1212122212111,1,2,1,2,1,2,2,2,1,2,1,1,1,0.675777,67.58,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
83,hedge,1,9300,1012121012121,1,0,1,2,1,2,1,0,1,2,1,2,1,0.675769,67.58,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
84,hedge,1,9400,1011121012111,1,0,1,1,1,2,1,0,1,2,1,1,1,0.674865,67.49,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
85,hedge,1,9500,1212221212111,1,2,1,2,2,2,1,2,1,2,1,1,1,0.674811,67.48,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
86,hedge,1,9600,1222121012111,1,2,2,2,1,2,1,0,1,2,1,1,1,0.674628,67.46,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
87,hedge,1,9700,1212122210111,1,2,1,2,1,2,2,2,1,0,1,1,1,0.674569,67.46,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
88,hedge,1,9800,1212101211111,1,2,1,2,1,0,1,2,1,1,1,1,1,0.674555,67.46,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
89,hedge,1,9900,1012121210112,1,0,1,2,1,2,1,2,1,0,1,1,2,0.674373,67.44,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
90,hedge,1,10000,1012121022111,1,0,1,2,1,2,1,0,2,2,1,1,1,0.674301,67.43,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
91,hedge,1,10100,1022121212111,1,0,2,2,1,2,1,2,1,2,1,1,1,0.674268,67.43,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
92,hedge,1,10200,1012121210121,1,0,1,2,1,2,1,2,1,0,1,2,1,0.674205,67.42,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
93,hedge,1,10300,1112111212111,1,1,1,2,1,1,1,2,1,2,1,1,1,0.674130,67.41,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
94,hedge,1,10400,1012121210211,1,0,1,2,1,2,1,2,1,0,2,1,1,0.674088,67.41,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
95,hedge,1,10500,2212121212111,2,2,1,2,1,2,1,2,1,2,1,1,1,0.673931,67.39,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
96,hedge,1,10600,1011121210111,1,0,1,1,1,2,1,2,1,0,1,1,1,0.673687,67.37,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
97,hedge,1,10700,1212221210111,1,2,1,2,2,2,1,2,1,0,1,1,1,0.673647,67.36,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
98,hedge,1,10800,1112111210111,1,1,1,2,1,1,1,2,1,0,1,1,1,0.673532,67.35,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
99,hedge,1,10900,1012101211111,1,0,1,2,1,0,1,2,1,1,1,1,1,0.673412,67.34,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
100,hedge,1,11000,1222121010111,1,2,2,2,1,2,1,0,1,0,1,1,1,0.673404,67.34,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
101,hedge,1,11100,1012121220111,1,0,1,2,1,2,1,2,2,0,1,1,1,0.673264,67.33,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
102,hedge,1,11200,2212121210111,2,2,1,2,1,2,1,2,1,0,1,1,1,0.672797,67.28,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
103,hedge,1,11300,1212121212110,1,2,1,2,1,2,1,2,1,2,1,1,0,0.672790,67.28,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
104,hedge,1,11400,1012122212111,1,0,1,2,1,2,2,2,1,2,1,1,1,0.672424,67.24,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
105,hedge,1,11500,1212122012111,1,2,1,2,1,2,2,0,1,2,1,1,1,0.672317,67.23,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
106,hedge,1,11600,1012121010112,1,0,1,2,1,2,1,0,1,0,1,1,2,0.672082,67.21,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
107,hedge,1,11700,1212121212101,1,2,1,2,1,2,1,2,1,2,1,0,1,0.672058,67.21,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
108,hedge,1,11800,1212121112112,1,2,1,2,1,2,1,1,1,2,1,1,2,0.671988,67.20,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
109,hedge,1,11900,1012121010121,1,0,1,2,1,2,1,0,1,0,1,2,1,0.671847,67.18,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
110,hedge,1,12000,1012121010211,1,0,1,2,1,2,1,0,1,0,2,1,1,0.671792,67.18,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
111,hedge,1,12100,1012221212111,1,0,1,2,2,2,1,2,1,2,1,1,1,0.671647,67.16,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
112,hedge,1,12200,1212121112211,1,2,1,2,1,2,1,1,1,2,2,1,1,0.671635,67.16,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
113,hedge,1,12300,1212121210110,1,2,1,2,1,2,1,2,1,0,1,1,0,0.671599,67.16,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
114,hedge,1,12400,1212121112121,1,2,1,2,1,2,1,1,1,2,1,2,1,0.671358,67.14,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
115,hedge,1,12500,1212221012111,1,2,1,2,2,2,1,0,1,2,1,1,1,0.671355,67.14,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
116,hedge,1,12600,1022121210111,1,0,2,2,1,2,1,2,1,0,1,1,1,0.671232,67.12,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
117,hedge,1,12700,1011121010111,1,0,1,1,1,2,1,0,1,0,1,1,1,0.671228,67.12,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
118,hedge,1,12800,1212122010111,1,2,1,2,1,2,2,0,1,0,1,1,1,0.671202,67.12,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
119,hedge,1,12900,1022121012111,1,0,2,2,1,2,1,0,1,2,1,1,1,0.671202,67.12,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
120,hedge,1,13000,1212101011111,1,2,1,2,1,0,1,0,1,1,1,1,1,0.671070,67.11,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
121,hedge,1,13100,1212121212011,1,2,1,2,1,2,1,2,1,2,0,1,1,0.671048,67.10,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
122,hedge,1,13200,2012121212111,2,0,1,2,1,2,1,2,1,2,1,1,1,0.670925,67.09,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
123,hedge,1,13300,1212121110112,1,2,1,2,1,2,1,1,1,0,1,1,2,0.670899,67.09,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
124,hedge,1,13400,1212121210101,1,2,1,2,1,2,1,2,1,0,1,0,1,0.670897,67.09,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
125,hedge,1,13500,1012121020111,1,0,1,2,1,2,1,0,2,0,1,1,1,0.670769,67.08,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
126,hedge,1,13600,1212121110211,1,2,1,2,1,2,1,1,1,0,2,1,1,0.670560,67.06,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
127,hedge,1,13700,1112111012111,1,1,1,2,1,1,1,0,1,2,1,1,1,0.670543,67.05,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
128,hedge,1,13800,1112101112111,1,1,1,2,1,0,1,1,1,2,1,1,1,0.670493,67.05,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
129,hedge,1,13900,2212121012111,2,2,1,2,1,2,1,0,1,2,1,1,1,0.670487,67.05,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
130,hedge,1,14000,1212121110121,1,2,1,2,1,2,1,1,1,0,1,2,1,0.670291,67.03,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
131,hedge,1,14100,1212221010111,1,2,1,2,2,2,1,0,1,0,1,1,1,0.670276,67.03,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
132,hedge,1,14200,1211121112111,1,2,1,1,1,2,1,1,1,2,1,1,1,0.670114,67.01,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
133,hedge,1,14300,1112111010111,1,1,1,2,1,1,1,0,1,0,1,1,1,0.670027,67.00,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
134,hedge,1,14400,1012101011111,1,0,1,2,1,0,1,0,1,1,1,1,1,0.670006,67.00,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
135,hedge,1,14500,1112101110111,1,1,1,2,1,0,1,1,1,0,1,1,1,0.669963,67.00,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
136,hedge,1,14600,1212121210011,1,2,1,2,1,2,1,2,1,0,0,1,1,0.669925,66.99,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
137,hedge,1,14700,1210121212111,1,2,1,0,1,2,1,2,1,2,1,1,1,0.669880,66.99,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
138,hedge,1,14800,1012121212110,1,0,1,2,1,2,1,2,1,2,1,1,0,0.669847,66.98,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
139,hedge,1,14900,1012122210111,1,0,1,2,1,2,2,2,1,0,1,1,1,0.669752,66.98,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
140,hedge,1,15000,2212121010111,2,2,1,2,1,2,1,0,1,0,1,1,1,0.669427,66.94,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
141,hedge,1,15100,1212121012110,1,2,1,2,1,2,1,0,1,2,1,1,0,0.669424,66.94,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
142,hedge,1,15200,1212121122111,1,2,1,2,1,2,1,1,2,2,1,1,1,0.669397,66.94,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
143,hedge,1,15300,1012122012111,1,0,1,2,1,2,2,0,1,2,1,1,1,0.669292,66.93,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
144,hedge,1,15400,1012121212101,1,0,1,2,1,2,1,2,1,2,1,0,1,0.669222,66.92,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
145,hedge,1,15500,1012221210111,1,0,1,2,2,2,1,2,1,0,1,1,1,0.669143,66.91,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
146,hedge,1,15600,1211121110111,1,2,1,1,1,2,1,1,1,0,1,1,1,0.669089,66.91,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
147,hedge,1,15700,1210121210111,1,2,1,0,1,2,1,2,1,0,1,1,1,0.668809,66.88,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
148,hedge,1,15800,1012121112112,1,0,1,2,1,2,1,1,1,2,1,1,2,0.668756,66.88,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
149,hedge,1,15900,1212121012101,1,2,1,2,1,2,1,0,1,2,1,0,1,0.668692,66.87,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
150,hedge,1,16000,1212101212112,1,2,1,2,1,0,1,2,1,2,1,1,2,0.668665,66.87,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
151,hedge,1,16100,2012121210111,2,0,1,2,1,2,1,2,1,0,1,1,1,0.668580,66.86,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
152,hedge,1,16200,1012221012111,1,0,1,2,2,2,1,0,1,2,1,1,1,0.668489,66.85,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
153,hedge,1,16300,1022121010111,1,0,2,2,1,2,1,0,1,0,1,1,1,0.668461,66.85,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
154,hedge,1,16400,1012121112211,1,0,1,2,1,2,1,1,1,2,2,1,1,0.668439,66.84,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
155,hedge,1,16500,1212121120111,1,2,1,2,1,2,1,1,2,0,1,1,1,0.668399,66.84,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
156,hedge,1,16600,1012121212011,1,0,1,2,1,2,1,2,1,2,0,1,1,0.668354,66.84,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
157,hedge,1,16700,1212101212211,1,2,1,2,1,0,1,2,1,2,2,1,1,0.668308,66.83,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
158,hedge,1,16800,1212121010110,1,2,1,2,1,2,1,0,1,0,1,1,0,0.668280,66.83,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
159,hedge,1,16900,1012121112121,1,0,1,2,1,2,1,1,1,2,1,2,1,0.668236,66.82,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
160,hedge,1,17000,1212101212121,1,2,1,2,1,0,1,2,1,2,1,2,1,0.668054,66.81,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
161,hedge,1,17100,1212121202111,1,2,1,2,1,2,1,2,0,2,1,1,1,0.667849,66.78,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
162,hedge,1,17200,2012121012111,2,0,1,2,1,2,1,0,1,2,1,1,1,0.667746,66.77,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
163,hedge,1,17300,1012121210110,1,0,1,2,1,2,1,2,1,0,1,1,0,0.667736,66.77,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
164,hedge,1,17400,1212121012011,1,2,1,2,1,2,1,0,1,2,0,1,1,0.667683,66.77,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
165,hedge,1,17500,1212121010101,1,2,1,2,1,2,1,0,1,0,1,0,1,0.667574,66.76,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
